dow_jones,all_ordinaries
3733.0,2107.8
3759.0,2093.7
3766.0,2103.9
3742.0,2121.0
3745.0,2132.4
3755.0,2105.9
3754.0,2096.9
3757.0,2102.2
3757.5,2091.8
3758.0,2081.8
3761.0,2097.2
3759.0,2077.0
3772.0,2078.6
3768.0,2072.5
3756.0,2070.2
3749.0,2079.7
3753.0,2076.7
3773.0,2069.4
3815.0,2076.6
3790.0,2074.4
3811.0,2056.0
3777.0,2051.2
3742.0,2024.4
3708.0,1993.6
3725.0,2010.9
3699.0,2022.5
3637.0,2017.9
3686.0,1957.4
3670.0,1974.4
3667.0,1975.1
3625.0,1989.1
3647.0,1965.8
3649.5,1987.1
3652.0,2003.4
3674.0,1991.2
3688.0,1962.2
3709.0,1964.9
3703.0,1961.2
3703.0,1972.9
3704.0,1978.6
3739.0,2007.7
3754.0,2058.0
3755.0,2072.3
3748.0,2077.4
3727.0,2078.6
3732.0,2049.2
3735.0,2052.5
3742.0,2048.3
3736.0,2041.3
3720.0,2041.7
3731.0,2042.1
3764.0,2061.5
3798.0,2082.1
3796.0,2086.9
3793.0,2072.3
3766.0,2083.5
3747.0,2091.9
3754.0,2081.1
3756.0,2086.8
3767.0,2076.5
3751.0,2062.8
3769.0,2052.0
3760.0,2055.9
3785.0,2040.0
3776.0,2059.5
3755.0,2066.8
3755.0,2061.3
3751.0,2063.6
3776.0,2051.6
3847.0,2061.1
3830.0,2077.8
3881.0,2077.2
3899.0,2111.8
3917.0,2116.5
3913.0,2122.1
3901.0,2105.5
3886.0,2107.0
3892.5,2095.5
3899.0,2103.6
3886.0,2104.4
3908.0,2089.1
3875.0,2070.6
3860.0,2032.9
3880.0,2043.6
3895.0,2050.5
3954.0,2050.8
3933.0,2059.0
3937.0,2049.1
3869.0,2045.1
3852.0,2026.6
3837.0,2028.2
3832.0,2027.7
3849.0,2030.0
3863.0,2013.8
3878.0,2014.2
3855.0,2030.6
3843.0,2028.7
3847.0,2030.9
3801.0,1998.0
3787.0,1979.8
3776.0,1976.3
3797.0,1967.5
3821.0,1988.0
3877.0,2003.6
3875.0,2002.6
3890.0,1998.9
3910.0,2006.0
3924.0,2014.2
3918.0,2003.4
3936.0,2013.4
3911.0,2016.3
3891.0,2034.6
3855.0,2034.2
